,6-idle-simple2-fjsp-2000-v,converged_iterations,total_time,min
la01,581.0,1406.0,75.82058906555176,577.0
la02,540.0,1367.0,73.0405056476593,534.0
la03,497.0,1526.0,83.18172407150269,480.0
la04,512.0,2702.0,148.5708246231079,510.0
la05,464.0,1403.0,75.29796648025513,461.0
la06,810.0,3062.0,228.60719537734985,802.0
la07,765.0,1829.0,133.31576108932495,752.0
la08,773.0,3737.0,281.2076551914215,767.0
la09,863.0,2879.0,216.9434289932251,857.0
la10,812.0,6434.0,488.6568019390106,807.0
la11,1082.0,3020.0,425.5480146408081,1074.0
la12,942.0,3029.0,422.70520639419556,938.0
la13,1053.0,2864.0,402.8308448791504,1041.0
la14,1078.0,3632.0,513.024906873703,1072.0
la15,1098.0,2333.0,323.4109079837799,1093.0
la16,722.0,1322.0,109.93376183509827,719.0
la17,646.0,710.0,54.06184411048889,646.0
la18,663.0,1094.0,86.8710253238678,663.0
la19,625.0,947.0,76.05142188072205,619.0
la20,756.0,680.0,52.14297676086426,756.0
la21,825.0,1889.0,325.1169319152832,815.0
la22,752.0,6758.0,1216.9019765853882,745.0
la23,830.0,9032.0,1579.8858461380005,822.0
la24,786.0,3395.0,598.3844518661499,784.0
la25,774.0,5279.0,941.6416027545929,762.0
la26,1069.0,2633.0,590.305582523346,1064.0
la27,1090.0,2969.0,691.1358716487885,1089.0
la28,1077.0,4520.0,1067.8158526420593,1076.0
la29,1037.0,2978.0,679.6642174720764,1002.0
la30,1086.0,2936.0,667.0671439170837,1079.0
la31,1627.0,4682.0,1665.5704040527344,1522.0
la32,1704.0,5261.0,1923.0758981704712,1662.0
la33,1510.0,2336.0,817.0126767158508,1502.0
la34,1543.0,2711.0,1014.5506706237793,1539.0
la35,1555.0,2831.0,1070.248108625412,1552.0
la36,956.0,1466.0,340.77740836143494,948.0
la37,992.0,1154.0,269.2793188095093,987.0
la38,949.0,992.0,217.78348636627197,943.0
la39,939.0,1439.0,330.1778049468994,934.0
la40,971.0,1175.0,255.9128053188324,955.0
