,12-idle-binary-fjsp-2000-vdata,converged_iterations,total_time,min
la16,723.0,2264.0,367.67663502693176,717.0
la17,646.0,2154.0,343.69530987739563,646.0
la18,663.0,1259.0,193.75986623764038,663.0
la19,627.0,3234.0,524.9828569889069,618.0
la20,756.0,2629.0,426.8909103870392,756.0
la21,823.0,6374.0,1736.8440680503845,809.0
la22,751.0,2029.0,532.5828411579132,743.0
la23,837.0,3039.0,807.8706188201904,825.0
la24,797.0,1594.0,412.4206368923187,783.0
la25,792.0,3979.0,1077.20166182518,759.0
la26,1058.0,8874.0,3601.7499449253082,1056.0
la27,1099.0,2429.0,964.228419303894,1088.0
la28,1084.0,2834.0,1091.9167351722717,1074.0
la29,1004.0,9079.0,3601.395481824875,998.0
la30,1104.0,8899.0,3600.835016965866,1080.0
la31,1526.0,4399.0,3355.3562569618225,1522.0
la32,1668.0,4814.0,3603.033180475235,1660.0
la33,1507.0,4619.0,3603.105000734329,1502.0
la34,1540.0,4739.0,3600.615366458893,1539.0
la35,1559.0,4034.0,3136.7982354164124,1551.0
la36,975.0,2389.0,1069.2027077674866,948.0
la37,1043.0,2004.0,893.3505630493164,987.0
la38,943.0,2434.0,1090.8678891658783,943.0
la39,948.0,2129.0,953.050708770752,935.0
la40,960.0,2334.0,1047.4146327972412,955.0
