,6-idle-simple2-fjsp-2000-Barnes,converged_iterations,total_time,min
mt10c1,1023.0,677.0,47.84404683113098,1018.0
mt10cc,984.0,1535.0,118.75984358787537,973.0
mt10x,1011.0,4949.0,393.5905694961548,1007.0
mt10xx,1011.0,3308.0,267.65502429008484,985.0
mt10xxx,1088.0,1634.0,130.2984380722046,1040.0
mt10xy,1040.0,890.0,65.27737712860107,1000.0
mt10xyz,952.0,953.0,72.64022135734558,926.0
setb4c9,961.0,1343.0,205.30831718444824,952.0
setb4cc,952.0,1271.0,195.31815695762634,952.0
setb4x,1040.0,1037.0,154.8572392463684,1020.0
setb4xx,1013.0,875.0,130.51436376571655,992.0
setb4xxx,989.0,1370.0,215.82563734054565,985.0
setb4xy,1007.0,860.0,126.44494843482971,998.0
setb4xyz,981.0,986.0,149.1240918636322,969.0
seti5c12,1295.0,2396.0,513.0330896377563,1269.0
seti5cc,1256.0,1343.0,272.01084446907043,1210.0
seti5x,1289.0,2597.0,553.1828246116638,1288.0
seti5xx,1316.0,1517.0,319.4065611362457,1298.0
seti5xxx,1326.0,1361.0,284.6551628112793,1288.0
seti5xy,1205.0,1493.0,308.8936860561371,1205.0
seti5xyz,1226.0,2075.0,443.97190380096436,1196.0
