,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
abz5,1352,1369,1370,1336,1334,1467,1586,1735,1370,1559,1735,1377
abz6,1097,987,1071,1031,989,1045,1207,1110,1071,1144,1162,1168
abz7,849,769,900,775,746,803,903,1113,900,933,1032,981
abz8,929,825,879,810,782,877,949,951,879,992,1021,933
abz9,887,857,914,899,860,946,976,1071,914,970,1071,925
car1,7798,8938,9298,9298,8243,9298,10336,8848,9298,9298,10344,8426
car2,7741,9163,8665,8665,9350,8665,10330,8918,8665,8665,10206,8701
car3,8237,9283,10122,10122,8677,10122,11348,9298,10122,10122,9710,9898
car4,8423,9872,9991,9991,9645,9991,11840,10861,9991,9991,12009,10482
car5,9313,9997,9311,9311,9360,9311,11582,9481,9311,9311,10231,9793
car6,9718,10710,11579,11579,10534,11579,10858,9815,11579,11579,9982,10994
car7,7191,8511,8170,8170,8511,8170,8901,7992,8170,8170,8153,8024
car8,9865,9219,9963,9963,9174,9963,10453,10037,9963,9963,10009,9541
la01,751,735,830,763,671,772,822,933,830,941,933,796
la02,821,817,844,812,835,830,990,830,844,982,786,808
la03,672,696,773,726,696,755,825,822,773,758,806,766
la04,711,758,839,706,696,695,818,833,839,745,758,719
la05,610,593,677,593,593,610,693,766,677,704,670,704
la06,1200,926,1078,926,926,926,1125,1067,1078,1095,1246,1060
la07,1034,970,1133,1001,960,1088,1069,1136,1133,1137,1178,1098
la08,942,957,966,925,893,980,1035,1176,966,995,995,1103
la09,1045,1015,1193,951,951,1018,1183,1334,1193,1149,1335,1192
la10,1049,966,1012,958,958,1006,1132,1312,1012,1032,1324,1090
la11,1473,1268,1577,1222,1222,1272,1467,1525,1577,1586,1446,1502
la12,1203,1137,1286,1039,1050,1039,1240,1305,1286,1295,1365,1185
la13,1275,1166,1337,1150,1189,1199,1230,1354,1337,1320,1396,1395
la14,1427,1292,1497,1292,1292,1292,1434,1725,1497,1567,1701,1593
la15,1339,1343,1442,1436,1363,1587,1612,1648,1442,1598,1728,1684
la16,1156,1054,1230,1108,1081,1180,1229,1347,1230,1119,1158,1113
la17,924,846,894,844,845,943,1082,1203,894,948,1237,1047
la18,981,970,1128,942,983,1049,1114,1154,1128,1154,1131,1253
la19,940,1013,1046,1088,1000,983,1062,986,1046,1004,986,1015
la20,1000,964,1210,1130,984,1272,1272,1232,1210,1207,1251,1262
la21,1324,1264,1417,1251,1230,1265,1451,1518,1417,1547,1651,1334
la22,1180,1079,1294,1198,1060,1312,1315,1589,1294,1359,1479,1260
la23,1162,1185,1314,1268,1155,1354,1302,1374,1314,1493,1577,1328
la24,1203,1101,1356,1149,1085,1141,1245,1214,1356,1508,1231,1422
la25,1449,1166,1383,1209,1112,1283,1374,1487,1383,1371,1335,1359
la26,1498,1435,1479,1411,1386,1372,1643,1606,1479,1687,1826,1550
la27,1784,1442,1860,1566,1413,1644,1644,1728,1860,1687,1933,1564
la28,1610,1487,1670,1477,1468,1474,1844,1750,1670,1743,1822,1644
la29,1556,1337,1607,1437,1352,1540,1720,1665,1607,1858,1826,1627
la30,1792,1534,1814,1565,1577,1648,1953,2067,1814,1847,2014,1737
la31,1951,1931,2148,1836,1903,1918,2245,2322,2148,2129,2462,2064
la32,2165,1875,2360,1984,1850,2110,2470,2341,2360,2374,2383,2543
la33,1901,1875,2221,1811,1766,1873,2297,2125,2221,2411,2474,2323
la34,2070,1935,2212,1853,1825,1925,2330,2223,2212,2545,2177,2145
la35,2118,2118,2462,2064,2009,2142,2349,2316,2462,2350,2370,2469
la36,1799,1510,1676,1492,1396,1516,1737,1899,1676,1932,1879,1869
la37,1655,1588,1725,1606,1584,1873,1944,1996,1725,1943,2058,1805
la38,1404,1421,1932,1455,1387,1475,1732,1820,1932,1741,1752,1600
la39,1534,1500,1534,1540,1495,1532,1625,1586,1534,1641,1848,1641
la40,1476,1440,1778,1358,1400,1531,1822,1570,1778,1631,1557,1481
mt06,88,61,68,59,60,65,77,83,68,68,70,68
mt10,1074,1108,1262,1163,1090,1184,1295,1334,1262,1352,1334,1393
mt20,1267,1501,1488,1601,1454,1645,1631,1392,1488,1487,1451,1365
orb1,1478,1359,1456,1307,1275,1368,1410,1398,1456,1410,1423,1398
orb10,1113,1220,1284,1256,1149,1303,1254,1265,1284,1381,1222,1331
orb2,1175,1047,1157,1047,1033,1007,1293,1170,1157,1194,1170,1184
orb3,1179,1247,1297,1445,1283,1405,1430,1389,1297,1297,1350,1302
orb4,1236,1172,1356,1287,1112,1325,1415,1432,1356,1601,1455,1389
orb5,1152,1173,1116,1050,1030,1155,1099,1175,1116,1117,1106,1187
orb6,1190,1291,1342,1345,1277,1330,1474,1322,1342,1418,1378,1371
orb7,504,483,502,500,473,475,470,499,502,519,562,521
orb8,1107,1180,1139,1278,1137,1225,1176,1178,1139,1094,1343,1134
orb9,1262,1144,1376,1165,1144,1189,1268,1239,1376,1363,1383,1287
