,6-idle-simple2-fjsp-2000-edata3,converged_iterations,total_time,min
abz5,1281.0,1490.0,114.25754523277283,1246.0
abz6,989.0,674.0,47.35932183265686,982.0
abz7,698.0,1922.0,501.93296098709106,684.0
abz8,711.0,4091.0,1088.8200042247772,703.0
abz9,749.0,2501.0,649.5958454608917,730.0
car1,7289.0,986.0,48.40414237976074,7109.0
car2,7372.0,1211.0,59.598533391952515,7372.0
car3,7436.0,788.0,39.930174350738525,7186.0
car4,8392.0,785.0,39.12588095664978,8249.0
car5,7494.0,887.0,44.989630460739136,7397.0
car6,8837.0,689.0,36.78755521774292,8439.0
car7,6280.0,689.0,29.48565936088562,6280.0
car8,8401.0,998.0,52.4187388420105,8157.0
la01,621.0,1223.0,57.7909414768219,621.0
la02,727.0,926.0,42.04248595237732,720.0
la03,602.0,827.0,37.31118440628052,580.0
la04,611.0,944.0,42.88880896568298,596.0
la05,522.0,1391.0,65.94459748268127,503.0
la06,926.0,653.0,39.195141553878784,878.0
la07,806.0,959.0,60.62238645553589,790.0
la08,874.0,722.0,43.700095653533936,860.0
la09,900.0,1535.0,99.46171045303345,900.0
la10,871.0,1028.0,64.71934700012207,866.0
la11,1115.0,1850.0,212.94183039665222,1106.0
la12,979.0,1436.0,163.34112524986267,964.0
la13,1064.0,1811.0,211.8782799243927,1058.0
la14,1148.0,1319.0,147.53682327270508,1124.0
la15,1218.0,890.0,97.68219375610352,1215.0
la16,980.0,1118.0,83.08676505088806,968.0
la17,786.0,761.0,53.49247431755066,780.0
la18,892.0,1055.0,78.06333541870117,872.0
la19,873.0,722.0,51.13916230201721,867.0
la20,924.0,1454.0,108.77797222137451,924.0
la21,1097.0,1646.0,239.30429911613464,1083.0
la22,1018.0,1388.0,198.01678442955017,994.0
la23,1055.0,1268.0,179.5556778907776,1041.0
la24,970.0,1685.0,245.5571129322052,970.0
la25,1055.0,1340.0,194.760005235672,1024.0
la26,1231.0,1874.0,352.18636107444763,1219.0
la27,1282.0,1886.0,354.49021077156067,1259.0
la28,1293.0,2402.0,462.7027907371521,1285.0
la29,1243.0,1871.0,354.84231638908386,1241.0
la30,1381.0,1703.0,322.59901666641235,1343.0
la31,1704.0,2627.0,778.3628904819489,1663.0
la32,1775.0,2114.0,613.0371570587158,1760.0
la33,1593.0,2237.0,651.3132367134094,1592.0
la34,1693.0,2627.0,770.0032224655151,1661.0
la35,1807.0,1817.0,523.0962357521057,1774.0
la36,1251.0,1103.0,210.6609606742859,1251.0
la37,1506.0,1913.0,378.50653767585754,1483.0
la38,1325.0,992.0,189.6810884475708,1301.0
la39,1274.0,1373.0,267.1054699420929,1257.0
la40,1248.0,1652.0,324.77968978881836,1248.0
mt06,55.0,353.0,12.68406891822815,55.0
mt10,924.0,884.0,63.7809522151947,924.0
mt20,1198.0,923.0,97.59440064430237,1193.0
orb1,1046.0,1187.0,87.63456606864929,1046.0
orb10,1015.0,1538.0,115.59728741645813,1001.0
orb2,895.0,1595.0,120.8851706981659,895.0
orb3,1071.0,1592.0,119.23457407951355,1030.0
orb4,1067.0,965.0,69.86806297302246,1062.0
orb5,932.0,1187.0,88.69692492485046,932.0
orb6,1061.0,1994.0,150.67447018623352,1061.0
orb7,418.0,1214.0,89.10471391677856,409.0
orb8,977.0,2105.0,164.56590366363525,961.0
orb9,1020.0,3350.0,266.11415457725525,994.0
