,6-idle-simple2-fjsp-2000-vdata,converged_iterations,total_time,min
abz5,1064.0,818.0,58.177422761917114,1060.0
abz6,889.0,1370.0,102.6988377571106,872.0
abz7,586.0,1943.0,528.5311994552612,582.0
abz8,622.0,2261.0,617.6772260665894,618.0
abz9,618.0,1628.0,439.2390515804291,618.0
car1,5511.0,875.0,43.51026248931885,5286.0
car2,6092.0,2264.0,116.5743625164032,6010.0
car3,5887.0,1526.0,82.44753623008728,5806.0
car4,6677.0,4790.0,267.490177154541,6601.0
car5,6318.0,1052.0,54.284010887145996,5893.0
car6,6666.0,770.0,41.964752435684204,6585.0
car7,4639.0,977.0,43.206124782562256,4639.0
car8,6346.0,980.0,50.705357789993286,6266.0
la01,596.0,1574.0,74.85131216049194,581.0
la02,550.0,1454.0,68.92963528633118,545.0
la03,491.0,1922.0,92.75250577926636,481.0
la04,519.0,1637.0,77.8921627998352,514.0
la05,465.0,1541.0,73.58533263206482,463.0
la06,813.0,2426.0,162.5574722290039,800.0
la07,768.0,6425.0,438.1389317512512,752.0
la08,786.0,2036.0,135.12475752830505,773.0
la09,864.0,2960.0,200.51883602142334,860.0
la10,835.0,2150.0,145.81462216377258,818.0
la11,1078.0,2489.0,318.47551226615906,1072.0
la12,950.0,2081.0,269.7755856513977,943.0
la13,1042.0,2687.0,357.0319621562958,1040.0
la14,1087.0,2174.0,282.7535581588745,1078.0
la15,1126.0,7898.0,1064.9333641529083,1106.0
la16,798.0,1199.0,88.90425229072571,763.0
la17,749.0,1118.0,83.8682472705841,694.0
la18,745.0,770.0,53.83902382850647,708.0
la19,785.0,1052.0,78.92750954627991,764.0
la20,811.0,1388.0,104.1211359500885,804.0
la21,973.0,1361.0,204.74947500228882,922.0
la22,839.0,2327.0,374.4237313270569,829.0
la23,910.0,1724.0,266.5192904472351,910.0
la24,888.0,1973.0,311.6660680770874,867.0
la25,895.0,1409.0,220.05404257774353,858.0
la26,1116.0,2363.0,479.6114571094513,1109.0
la27,1199.0,1829.0,362.4213366508484,1179.0
la28,1139.0,2150.0,437.1938955783844,1133.0
la29,1055.0,1802.0,361.67034435272217,1049.0
la30,1171.0,1511.0,296.76141595840454,1169.0
la31,1556.0,4751.0,1514.6386218070984,1551.0
la32,1698.0,4934.0,1568.9466834068298,1690.0
la33,1533.0,4133.0,1294.983161687851,1515.0
la34,1562.0,3620.0,1145.0924987792969,1549.0
la35,1587.0,8924.0,2909.6553676128387,1562.0
la36,1155.0,1262.0,254.37377047538757,1135.0
la37,1192.0,2108.0,450.7231981754303,1169.0
la38,1105.0,1103.0,222.98172235488892,1075.0
la39,1162.0,1397.0,284.6991662979126,1125.0
la40,1099.0,1340.0,275.57414078712463,1082.0
mt06,48.0,1361.0,52.45729351043701,48.0
mt10,730.0,3983.0,308.8841519355774,722.0
mt20,1041.0,2006.0,258.1686248779297,1035.0
orb1,840.0,791.0,56.12989902496338,809.0
orb10,857.0,1115.0,81.57438278198242,832.0
orb2,806.0,1514.0,112.62083077430725,766.0
orb3,829.0,1235.0,90.48955011367798,786.0
orb4,854.0,965.0,69.69111204147339,839.0
orb5,764.0,1130.0,83.23441863059998,734.0
orb6,833.0,674.0,46.913543462753296,820.0
orb7,359.0,638.0,43.14959907531738,325.0
orb8,702.0,1559.0,118.76886320114136,681.0
orb9,790.0,1529.0,117.31581544876099,742.0
