,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
01a,3037,2869,3581,2872,2859,3056,3046,3460,3494,3569,3417,3477
02a,2638,2409,2657,2477,2405,2443,2785,2953,3272,2781,2961,2998
03a,2697,2269,2660,2292,2266,2413,2506,3058,2781,3071,3058,3231
04a,2947,2854,3526,2827,2825,3059,3134,3512,3526,3519,3512,3535
05a,2801,2425,2685,2513,2443,2489,2713,2995,2895,2809,2995,2722
06a,2780,2279,2396,2237,2282,2451,2652,2807,2704,2930,2729,2723
07a,2982,2813,3300,2790,2759,2971,3108,3525,3291,3573,3487,3227
08a,2530,2276,2953,2249,2268,2317,3022,2895,2872,3190,2712,2651
09a,2630,2099,2434,2115,2116,2179,2471,2610,2772,2708,2712,2681
10a,2791,2808,2952,2763,2714,2863,3163,3460,3353,3798,3466,3465
11a,2615,2211,2420,2222,2179,2387,2621,3099,2802,2842,2764,2614
12a,2431,2079,2267,2085,2087,2183,2437,2560,2618,2527,2512,2515
13a,3206,2637,3126,2729,2677,2871,3339,3495,3647,3293,3239,3492
14a,2623,2258,2544,2280,2252,2448,2847,3226,2758,3015,2964,2708
15a,2641,2186,2567,2217,2205,2334,2777,2697,2511,2681,2699,2448
16a,3482,2558,2954,2686,2662,2805,3281,3931,3417,3829,3567,3130
17a,2491,2240,2714,2227,2235,2478,2846,2873,2600,2813,2991,2807
18a,2674,2199,2331,2195,2208,2318,2694,2687,2543,2639,2658,2726
