,6-idle-simple2-fjsp-2000-edata,converged_iterations,total_time,min
abz5,1281.0,878.0,61.19481825828552,1241.0
abz6,987.0,797.0,54.62116599082947,978.0
abz7,674.0,2276.0,598.2239372730255,674.0
abz8,705.0,2744.0,708.2987806797028,692.0
abz9,758.0,4688.0,1212.5385603904724,736.0
car1,7014.0,671.0,30.086631298065186,6754.0
car2,7051.0,1103.0,51.38156008720398,7008.0
car3,7281.0,905.0,44.55189776420593,7087.0
car4,8847.0,440.0,20.385769605636597,8759.0
car5,7405.0,1151.0,57.08930015563965,7397.0
car6,8837.0,347.0,17.49584698677063,8837.0
car7,6280.0,881.0,36.70494771003723,6280.0
car8,8146.0,1352.0,68.72711181640625,8134.0
la01,626.0,989.0,43.83336925506592,620.0
la02,724.0,1520.0,68.73696112632751,716.0
la03,590.0,1331.0,59.407772064208984,590.0
la04,655.0,1016.0,45.016056537628174,612.0
la05,522.0,776.0,33.96376419067383,503.0
la06,926.0,905.0,54.301283836364746,853.0
la07,814.0,1352.0,83.49902749061584,806.0
la08,860.0,848.0,50.191211462020874,859.0
la09,926.0,1379.0,85.12355184555054,912.0
la10,866.0,1943.0,122.17288303375244,866.0
la11,1128.0,2141.0,243.08232998847961,1107.0
la12,979.0,1079.0,120.72607731819153,979.0
la13,1056.0,2336.0,268.6166512966156,1055.0
la14,1147.0,1157.0,129.20091581344604,1137.0
la15,1171.0,1139.0,125.62087297439575,1160.0
la16,974.0,881.0,60.195133447647095,966.0
la17,786.0,890.0,61.68848133087158,778.0
la18,868.0,827.0,55.64639496803284,868.0
la19,924.0,1145.0,82.358971118927,867.0
la20,914.0,932.0,64.62530541419983,914.0
la21,1150.0,1379.0,194.65625739097595,1133.0
la22,941.0,1610.0,227.72497129440308,941.0
la23,1032.0,1652.0,232.69031047821045,1032.0
la24,977.0,1307.0,183.55500769615173,977.0
la25,1055.0,1391.0,196.64691472053528,1039.0
la26,1251.0,1910.0,352.2679886817932,1237.0
la27,1298.0,1946.0,361.3068609237671,1289.0
la28,1303.0,1391.0,252.76813888549805,1288.0
la29,1254.0,1178.0,210.6502492427826,1238.0
la30,1358.0,1583.0,287.48980259895325,1341.0
la31,1696.0,1349.0,370.8580186367035,1632.0
la32,1758.0,2426.0,683.5535130500793,1750.0
la33,1617.0,2846.0,807.5544939041138,1614.0
la34,1726.0,2084.0,608.343412399292,1695.0
la35,1817.0,2138.0,661.2922885417938,1817.0
la36,1266.0,1751.0,365.27946424484253,1265.0
la37,1483.0,2003.0,425.19957637786865,1472.0
la38,1327.0,1223.0,248.0047779083252,1283.0
la39,1290.0,1115.0,223.40551233291626,1262.0
la40,1260.0,986.0,191.25917720794678,1234.0
mt06,55.0,473.0,17.2404465675354,55.0
mt10,932.0,953.0,70.9519317150116,913.0
mt20,1246.0,932.0,106.17046213150024,1246.0
orb1,1086.0,1043.0,73.67007875442505,1078.0
orb10,1044.0,1016.0,70.6259605884552,1018.0
orb2,905.0,1079.0,76.37553334236145,895.0
orb3,1038.0,1568.0,113.43769764900208,1032.0
orb4,1105.0,1916.0,142.03072047233582,1085.0
orb5,932.0,1148.0,82.66559767723083,920.0
orb6,1035.0,1088.0,76.55055332183838,1035.0
orb7,413.0,1373.0,97.72069191932678,406.0
orb8,1001.0,1343.0,98.01691889762878,962.0
orb9,1037.0,1394.0,99.20305871963501,1014.0
