,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
Mk01,55,67,44,50,52,63,49,54,49,48,46,50
Mk02,55,73,39,45,40,53,37,43,36,40,37,42
Mk03,268,341,223,235,231,279,234,228,216,225,211,235
Mk04,78,83,83,79,92,96,75,81,74,75,80,85
Mk05,235,209,189,190,200,213,191,192,186,190,192,188
Mk06,85,110,82,119,97,129,79,115,87,104,85,122
Mk07,227,220,256,274,232,237,203,222,189,209,211,227
Mk08,601,674,523,523,552,580,533,529,523,523,531,531
Mk09,431,496,334,341,361,440,347,364,325,327,347,405
Mk10,329,424,280,287,289,343,252,267,254,271,277,303
