,6-idle-simple2-fjsp-2000-s2,converged_iterations,total_time,min
abz5,1281.0,935.0,70.98669362068176,1266.0
abz6,987.0,395.0,28.385173320770264,980.0
abz7,719.0,2822.0,799.833967924118,711.0
abz8,720.0,2333.0,631.2710037231445,720.0
abz9,786.0,1745.0,462.8947253227234,771.0
car1,7689.0,455.0,21.19871973991394,7652.0
car2,7639.0,1496.0,79.47229266166687,7639.0
car3,7543.0,1007.0,53.51098132133484,7543.0
car4,8423.0,320.0,15.507514953613281,8423.0
car5,7821.0,1607.0,85.11586213111877,7821.0
car6,9024.0,1133.0,65.40405583381653,8777.0
car7,6996.0,704.0,30.25506329536438,6856.0
car8,9149.0,4844.0,272.21287178993225,8665.0
la01,666.0,1145.0,54.17092943191528,666.0
la02,718.0,1415.0,67.08753228187561,687.0
la03,619.0,1430.0,67.65498375892639,619.0
la04,620.0,1280.0,60.311657428741455,616.0
la05,593.0,263.0,11.586020708084106,593.0
la06,926.0,194.0,11.701054811477661,926.0
la07,890.0,1046.0,66.41467118263245,890.0
la08,863.0,1085.0,69.2213306427002,863.0
la09,951.0,299.0,17.798386335372925,951.0
la10,958.0,269.0,16.11589503288269,958.0
la11,1222.0,308.0,32.51102948188782,1222.0
la12,1039.0,1289.0,156.94466042518616,1039.0
la13,1150.0,1100.0,131.69171977043152,1150.0
la14,1292.0,104.0,11.92709469795227,1292.0
la15,1288.0,1046.0,126.6457109451294,1288.0
la16,1011.0,1280.0,96.77411651611328,1011.0
la17,814.0,1400.0,106.12660431861877,793.0
la18,926.0,1178.0,87.07968735694885,884.0
la19,966.0,887.0,64.68969583511353,897.0
la20,948.0,929.0,67.81455254554749,941.0
la21,1152.0,1694.0,260.1101520061493,1145.0
la22,986.0,1445.0,221.8854763507843,986.0
la23,1075.0,1070.0,157.8736822605133,1038.0
la24,1035.0,1313.0,199.6304693222046,1031.0
la25,1070.0,2558.0,401.2985007762909,1040.0
la26,1294.0,2459.0,489.9084527492523,1265.0
la27,1397.0,1784.0,353.15028858184814,1382.0
la28,1295.0,1442.0,279.12345933914185,1278.0
la29,1288.0,1715.0,337.8764274120331,1282.0
la30,1375.0,2093.0,415.6675183773041,1367.0
la31,1784.0,1262.0,361.93080735206604,1784.0
la32,1850.0,1010.0,288.27541184425354,1850.0
la33,1719.0,1256.0,364.94030833244324,1719.0
la34,1721.0,1970.0,583.0542759895325,1721.0
la35,1888.0,1016.0,285.1258382797241,1888.0
la36,1368.0,3557.0,756.8603830337524,1354.0
la37,1543.0,6068.0,1296.2763533592224,1520.0
la38,1362.0,1499.0,309.3031587600708,1330.0
la39,1376.0,1223.0,245.0564067363739,1360.0
la40,1325.0,1745.0,353.72979068756104,1297.0
mt06,60.0,782.0,28.91176700592041,59.0
mt10,1033.0,1073.0,77.96249580383301,1000.0
mt20,1259.0,1007.0,116.43648838996887,1248.0
orb1,1234.0,893.0,65.20215272903442,1193.0
orb10,1042.0,1952.0,148.14223194122314,1000.0
orb2,957.0,1457.0,108.38626003265381,942.0
orb3,1126.0,1400.0,104.93848538398743,1111.0
orb4,1101.0,1337.0,100.22300577163696,1062.0
orb5,1032.0,1826.0,139.07858180999756,981.0
orb6,1046.0,1235.0,91.18397545814514,1046.0
orb7,424.0,1484.0,111.06934380531311,424.0
orb8,1015.0,1091.0,81.7152578830719,1008.0
orb9,981.0,1661.0,125.85250210762024,980.0
