,6-idle-simple2-fjsp-2000-edata2,converged_iterations,total_time,min
abz5,1244.0,2486.0,187.63662123680115,1241.0
abz6,989.0,767.0,52.898030519485474,982.0
abz7,678.0,2105.0,547.4393699169159,678.0
abz8,711.0,1928.0,501.2309048175812,701.0
abz9,740.0,3299.0,874.4932754039764,731.0
car1,7237.0,1175.0,57.09024405479431,7188.0
car2,7819.0,380.0,16.929250478744507,7519.0
car3,7186.0,1013.0,52.67164134979248,7149.0
car4,8392.0,710.0,34.339091539382935,8249.0
car5,7494.0,896.0,44.45664405822754,7397.0
car6,8837.0,734.0,38.997641801834106,8741.0
car7,6280.0,761.0,31.92359972000122,6280.0
car8,8264.0,881.0,44.52744221687317,7987.0
la01,629.0,1382.0,63.918975830078125,621.0
la02,767.0,878.0,39.32577896118164,718.0
la03,602.0,695.0,30.093048095703125,595.0
la04,598.0,1280.0,58.33290386199951,598.0
la05,521.0,1355.0,61.772735834121704,515.0
la06,833.0,1190.0,73.95911836624146,833.0
la07,806.0,1457.0,92.68064165115356,785.0
la08,860.0,1034.0,64.11902832984924,845.0
la09,922.0,1319.0,83.05784559249878,900.0
la10,874.0,830.0,50.276052713394165,866.0
la11,1127.0,1382.0,161.96725845336914,1127.0
la12,960.0,1280.0,151.0274589061737,960.0
la13,1068.0,1541.0,184.17837977409363,1053.0
la14,1137.0,1121.0,130.56272768974304,1137.0
la15,1182.0,1241.0,144.97368001937866,1170.0
la16,980.0,1400.0,101.42724967002869,930.0
la17,781.0,932.0,65.80752491950989,778.0
la18,889.0,1010.0,73.46344304084778,868.0
la19,919.0,1370.0,100.34115815162659,867.0
la20,914.0,992.0,70.34640312194824,914.0
la21,1142.0,1241.0,179.26697969436646,1131.0
la22,959.0,884.0,124.08356833457947,951.0
la23,1051.0,1475.0,218.29206132888794,1038.0
la24,1006.0,1382.0,203.50063014030457,984.0
la25,1011.0,2144.0,324.91083884239197,1004.0
la26,1249.0,1379.0,257.9046423435211,1235.0
la27,1290.0,2114.0,403.57052755355835,1279.0
la28,1234.0,1949.0,377.005086183548,1234.0
la29,1271.0,1478.0,277.86665773391724,1231.0
la30,1300.0,2147.0,414.1232545375824,1298.0
la31,1731.0,1703.0,479.438499212265,1674.0
la32,1756.0,3896.0,1152.1254756450653,1756.0
la33,1599.0,2234.0,649.4407727718353,1599.0
la34,1678.0,1496.0,423.27328634262085,1669.0
la35,1762.0,1571.0,446.4636809825897,1762.0
la36,1273.0,1121.0,216.46281957626343,1251.0
la37,1496.0,2126.0,436.5417501926422,1484.0
la38,1262.0,1277.0,245.87938976287842,1262.0
la39,1302.0,2474.0,503.8880362510681,1256.0
la40,1289.0,986.0,183.73647785186768,1259.0
mt06,55.0,302.0,10.431093692779541,55.0
mt10,924.0,827.0,57.89666128158569,924.0
mt20,1314.0,878.0,99.23201513290405,1314.0
orb1,1077.0,2747.0,210.03868556022644,1062.0
orb10,1047.0,986.0,69.33805060386658,990.0
orb2,933.0,1382.0,101.26367926597595,921.0
orb3,1017.0,1691.0,125.01117753982544,1017.0
orb4,1067.0,827.0,58.09356951713562,1057.0
orb5,932.0,749.0,52.183939695358276,920.0
orb6,1076.0,2042.0,152.05876231193542,1053.0
orb7,412.0,1394.0,100.47281837463379,409.0
orb8,986.0,992.0,70.4534957408905,961.0
orb9,1046.0,2342.0,177.2400050163269,991.0
