,6-idle-simple2-fjsp-2000-vdata,converged_iterations,total_time,min
abz5,1108.0,1052.0,76.82824873924255,1061.0
abz6,889.0,1142.0,82.1553885936737,877.0
abz7,596.0,1643.0,442.39592361450195,583.0
abz8,616.0,1259.0,335.6150257587433,609.0
abz9,627.0,4493.0,1355.7174043655396,622.0
car1,5202.0,1670.0,86.90381050109863,5192.0
car2,6439.0,1223.0,61.88471245765686,6111.0
car3,5812.0,2615.0,147.86839199066162,5740.0
car4,6729.0,1643.0,89.25978660583496,6660.0
car5,6347.0,983.0,50.083577394485474,5941.0
car6,7200.0,1148.0,65.63958787918091,6737.0
car7,5280.0,296.0,12.252235174179077,4852.0
car8,6418.0,1286.0,68.35271859169006,6187.0
la01,602.0,863.0,39.144004344940186,577.0
la02,580.0,1190.0,54.422804832458496,551.0
la03,490.0,1379.0,64.72092342376709,483.0
la04,544.0,1145.0,53.54661560058594,520.0
la05,461.0,1178.0,54.39027547836304,461.0
la06,802.0,6785.0,461.57949018478394,801.0
la07,777.0,2351.0,155.53164291381836,759.0
la08,786.0,2867.0,192.04800295829773,772.0
la09,864.0,2210.0,145.9805543422699,860.0
la10,818.0,4370.0,303.3461742401123,811.0
la11,1092.0,2672.0,347.4575526714325,1075.0
la12,941.0,4673.0,624.5020065307617,940.0
la13,1049.0,1817.0,231.87910556793213,1044.0
la14,1078.0,3023.0,393.2209758758545,1076.0
la15,1111.0,2336.0,299.3734333515167,1105.0
la16,788.0,917.0,66.04096817970276,778.0
la17,692.0,1697.0,127.44817852973938,671.0
la18,708.0,1040.0,75.13305020332336,708.0
la19,785.0,1010.0,73.46450877189636,763.0
la20,866.0,863.0,61.78923845291138,802.0
la21,949.0,1463.0,224.33484148979187,914.0
la22,842.0,1760.0,280.751309633255,833.0
la23,925.0,1382.0,228.6158139705658,913.0
la24,887.0,1871.0,304.9989688396454,882.0
la25,864.0,1382.0,225.92185735702515,864.0
la26,1106.0,2345.0,487.3807933330536,1100.0
la27,1184.0,2090.0,425.7190842628479,1153.0
la28,1167.0,1136.0,222.13202476501465,1127.0
la29,1031.0,1937.0,390.84738183021545,1031.0
la30,1172.0,1790.0,359.31455993652344,1157.0
la31,1557.0,7793.0,2478.117938041687,1542.0
la32,1698.0,4424.0,1367.3991737365723,1688.0
la33,1535.0,4580.0,1405.0490531921387,1516.0
la34,1566.0,3368.0,1031.3812482357025,1553.0
la35,1587.0,7862.0,2511.7906773090363,1566.0
la36,1173.0,1631.0,344.19804430007935,1136.0
la37,1183.0,1775.0,380.64573431015015,1157.0
la38,1095.0,1706.0,373.1367893218994,1067.0
la39,1159.0,1238.0,259.8090925216675,1124.0
la40,1082.0,1076.0,224.39834022521973,1063.0
mt06,50.0,410.0,14.843607902526855,49.0
mt10,759.0,1235.0,92.78494191169739,732.0
mt20,1034.0,4193.0,565.908933877945,1034.0
orb1,870.0,1370.0,104.26970434188843,818.0
orb10,813.0,1010.0,75.17145323753357,811.0
orb2,813.0,1127.0,83.56949663162231,761.0
orb3,889.0,935.0,70.69248414039612,785.0
orb4,834.0,1652.0,128.36426901817322,832.0
orb5,728.0,1433.0,111.81250095367432,728.0
orb6,812.0,1286.0,98.9533576965332,789.0
orb7,342.0,1289.0,98.67409300804138,326.0
orb8,689.0,956.0,71.52423739433289,673.0
orb9,789.0,1076.0,83.11477303504944,742.0
