,12-idle-binary-fjsp-2000-vdata-min,converged_iterations,total_time,min
la16,725.0,1449.0,215.24667048454285,717.0
la17,646.0,1354.0,198.8936128616333,646.0
la18,663.0,1444.0,216.28476309776306,663.0
la19,621.0,1484.0,224.69809198379517,617.0
la20,756.0,2039.0,314.37802934646606,756.0
la21,835.0,6039.0,1570.6861407756805,815.0
la22,753.0,2669.0,683.7969305515289,741.0
la23,831.0,2369.0,596.0226380825043,819.0
la24,786.0,2569.0,671.4935746192932,782.0
la25,776.0,1144.0,280.88605403900146,762.0
la26,1060.0,9194.0,3601.15296626091,1056.0
la27,1100.0,9119.0,3601.650859117508,1089.0
la28,1101.0,1799.0,700.9509968757629,1078.0
la29,1005.0,2489.0,996.3608720302582,997.0
la30,1082.0,4599.0,1811.161420583725,1075.0
la31,1523.0,2439.0,1796.5276398658752,1522.0
la32,1665.0,4869.0,3600.1782178878784,1661.0
la33,1520.0,4784.0,3603.465213537216,1505.0
la34,1589.0,1799.0,3874.1421933174133,1539.0
la35,1598.0,24.0,3607.2322402000427,1598.0
la36,959.0,14.0,3604.5563600063324,959.0
la37,987.0,29.0,3611.127385854721,987.0
la38,944.0,9.0,3602.0151159763336,944.0
la39,958.0,79.0,75618.87870001793,953.0
la40,969.0,9.0,3604.839281320572,969.0
