,12-idle-binary-fjsp-2000-vdata-min,converged_iterations,total_time,min
la16,735.0,1529.0,235.19076657295227,717.0
la17,646.0,1164.0,172.99277353286743,646.0
la18,663.0,1334.0,196.39550065994263,663.0
la19,634.0,1124.0,164.542742729187,617.0
la20,756.0,1629.0,249.44906902313232,756.0
la21,832.0,1624.0,409.02252888679504,811.0
la22,769.0,1254.0,307.5376789569855,751.0
la23,843.0,1519.0,384.66156244277954,821.0
la24,796.0,10064.0,2701.3260905742645,784.0
la25,785.0,3604.0,939.5758185386658,769.0
la26,1063.0,3674.0,1410.187950372696,1057.0
la27,1093.0,2094.0,772.9732339382172,1089.0
la28,1080.0,5049.0,1994.028929233551,1073.0
la29,1003.0,4754.0,1810.544187784195,998.0
la30,1083.0,3349.0,1288.7586801052094,1076.0
la31,1521.0,4659.0,3601.907251358032,1521.0
la32,1676.0,4924.0,3601.057867050171,1665.0
la33,1511.0,3664.0,2683.0586047172546,1502.0
la34,1544.0,2709.0,2073.4307022094727,1539.0
la35,1561.0,1124.0,829.2541220188141,1553.0
la36,973.0,1569.0,672.9742517471313,948.0
la37,1030.0,2004.0,859.2958891391754,988.0
la38,943.0,2504.0,1080.3067255020142,943.0
la39,960.0,1949.0,848.5358262062073,934.0
la40,960.0,1064.0,444.46372389793396,955.0
