,6-area-simple-cnn-fjsp-2000-MK,converged_iterations,total_time,min
Mk01,42.0,1139.0,154.44551253318787,42.0
Mk02,30.0,1374.0,197.05339097976685,30.0
Mk03,207.0,1449.0,553.3596065044403,204.0
Mk04,69.0,1644.0,396.97791624069214,68.0
Mk05,179.0,3039.0,897.5196559429169,176.0
Mk06,69.0,2229.0,833.8820514678955,69.0
Mk07,155.0,1909.0,514.1283266544342,155.0
Mk08,523.0,1944.0,1418.0123069286346,523.0
Mk09,315.0,4134.0,3249.3455815315247,311.0
Mk10,231.0,4604.0,3600.2934980392456,230.0
