,6-area-simple-cnn-fjsp-2000-MK,converged_iterations,total_time,min
Mk01,42.0,1114.0,153.9979977607727,42.0
Mk02,31.0,1319.0,191.3122022151947,31.0
Mk03,204.0,1594.0,602.1395382881165,204.0
Mk04,71.0,1554.0,386.2941074371338,69.0
Mk05,179.0,3704.0,1126.630274772644,178.0
Mk06,70.0,1984.0,753.89861536026,70.0
Mk07,153.0,2129.0,573.5339081287384,151.0
Mk08,523.0,1474.0,1052.392685174942,523.0
Mk09,326.0,4624.0,3603.3957209587097,311.0
Mk10,232.0,4604.0,3600.69052195549,226.0
