,6-area-transformer-fjsp-MK,converged_iterations,total_time,min
Mk01,42.0,1826.0,341.1361241340637,42.0
Mk02,29.0,2726.0,518.200147151947,28.0
Mk03,204.0,4337.0,1811.9977281093597,204.0
Mk04,67.0,7640.0,2143.7860946655273,67.0
Mk05,176.0,10214.0,3240.4338970184326,175.0
Mk06,72.0,6596.0,1997.9214141368866,71.0
Mk07,150.0,8855.0,1689.982251405716,149.0
Mk08,523.0,1952.0,713.7308611869812,523.0
Mk09,307.0,9413.0,3600.779740333557,307.0
Mk10,224.0,9368.0,3602.885390520096,222.0
