,6-area-transformer-per-fjsp-MK,converged_iterations,total_time,min
Mk01,43.0,2627.0,313.87422370910645,41.0
Mk02,29.0,3185.0,398.7839653491974,29.0
Mk03,204.0,5129.0,1382.7656075954437,204.0
Mk04,67.0,4427.0,769.9137532711029,67.0
Mk05,176.0,4859.0,1035.5548303127289,175.0
Mk06,72.0,10223.0,3602.951248884201,71.0
Mk07,150.0,4922.0,1600.1050789356232,150.0
Mk08,523.0,1952.0,1182.9156703948975,523.0
Mk09,315.0,5345.0,3600.5074923038483,311.0
Mk10,226.0,5318.0,3605.7360355854034,224.0
