,6-area-transformer-per-fjsp-MK,converged_iterations,total_time,min
Mk01,42.0,2672.0,316.88157176971436,41.0
Mk02,31.0,2366.0,286.70531153678894,31.0
Mk03,204.0,2969.0,757.8623168468475,204.0
Mk04,67.0,3833.0,668.8835608959198,67.0
Mk05,175.0,8756.0,1789.3274273872375,175.0
Mk06,69.0,10268.0,2591.4857523441315,69.0
Mk07,159.0,3131.0,621.3100121021271,153.0
Mk08,523.0,1385.0,513.9755268096924,523.0
Mk09,307.0,8567.0,3602.4747416973114,307.0
Mk10,222.0,8477.0,3603.6750378608704,222.0
