,6-area-transformer-per-fjsp-MK,converged_iterations,total_time,min
Mk01,42.0,2438.0,463.60277366638184,41.0
Mk02,29.0,2636.0,518.8313300609589,28.0
Mk03,204.0,2627.0,1058.907867193222,204.0
Mk04,68.0,12995.0,3600.9407720565796,67.0
Mk05,175.0,16208.0,3600.423627138138,174.0
Mk06,70.0,13742.0,3600.6553931236267,68.0
Mk07,156.0,2870.0,573.6867673397064,154.0
Mk08,523.0,1475.0,566.452968120575,523.0
Mk09,307.0,8378.0,3600.780830860138,307.0
Mk10,224.0,8549.0,3601.733959197998,223.0
