,6-area-transformer-fjsp-MK,converged_iterations,total_time,min
Mk01,43.0,1772.0,197.30273509025574,41.0
Mk02,29.0,1682.0,195.53471875190735,29.0
Mk03,204.0,2816.0,694.6065878868103,204.0
Mk04,68.0,5210.0,859.0535840988159,67.0
Mk05,177.0,8198.0,1547.3964276313782,175.0
Mk06,69.0,15452.0,3601.189570426941,68.0
Mk07,154.0,8189.0,1546.7930619716644,154.0
Mk08,523.0,881.0,318.2305393218994,523.0
Mk09,315.0,9512.0,3600.771490573883,311.0
Mk10,222.0,9548.0,3600.3986835479736,220.0
