,12-idle-solution-fjsp-2000-vdata,converged_iterations,total_time,min
la01,579.0,2429.0,135.16569018363953,574.0
la02,550.0,2042.0,111.49250745773315,538.0
la03,496.0,1682.0,91.77280950546265,481.0
la04,526.0,1979.0,107.99355030059814,509.0
la05,469.0,1637.0,90.40348434448242,462.0
la06,806.0,2123.0,168.3233826160431,803.0
la07,774.0,1610.0,123.33364057540894,755.0
la08,768.0,3257.0,257.1389858722687,768.0
la09,866.0,3131.0,248.52620267868042,858.0
la10,812.0,2951.0,236.1179792881012,807.0
la11,1080.0,2150.0,222.08445596694946,1073.0
la12,947.0,1637.0,167.77610540390015,943.0
la13,1047.0,1790.0,183.94256854057312,1040.0
la14,1071.0,4418.0,463.967848777771,1070.0
la15,1094.0,5840.0,608.8314652442932,1090.0
la16,719.0,4292.0,407.00388622283936,717.0
la17,646.0,2204.0,205.1778507232666,646.0
la18,663.0,2897.0,274.67010402679443,663.0
la19,637.0,3149.0,295.40899682044983,617.0
la20,756.0,4328.0,408.5342273712158,756.0
la21,821.0,3410.0,608.5386939048767,813.0
la22,752.0,3464.0,629.5638039112091,745.0
la23,829.0,3905.0,698.3880455493927,821.0
la24,788.0,4094.0,751.9717354774475,782.0
la25,791.0,18449.0,3600.578706741333,773.0
la26,1058.0,9116.0,2287.314695596695,1055.0
la27,1106.0,14030.0,3602.2485523223877,1090.0
la28,1081.0,5210.0,1284.2683448791504,1077.0
la29,1004.0,9818.0,2551.2025377750397,999.0
la30,1086.0,13535.0,3601.9175741672516,1076.0
la31,1522.0,7523.0,3602.346916913986,1522.0
la32,1670.0,7613.0,3604.2887222766876,1662.0
la33,1506.0,7199.0,3602.52152633667,1502.0
la34,1546.0,7460.0,3603.195441007614,1539.0
la35,1561.0,7658.0,3601.1878242492676,1555.0
la36,948.0,7919.0,2270.016887664795,948.0
la37,1011.0,3005.0,838.1821353435516,986.0
la38,943.0,10016.0,2921.3130025863647,943.0
la39,948.0,6479.0,1888.2794272899628,929.0
la40,955.0,9017.0,2625.136240720749,955.0
