,episode,make_span,reward,min_make_span
0,0.0,984.0,-423.86597938144325,984.0
1,0.0,929.0,-395.51546391752566,929.0
2,0.0,942.0,-402.21649484536067,929.0
3,0.0,923.0,-392.42268041237065,923.0
4,0.0,963.0,-413.0412371134019,923.0
5,0.0,907.0,-384.17525773195894,907.0
6,0.0,870.0,-365.103092783505,870.0
7,0.0,932.0,-397.0618556701029,870.0
8,0.0,879.0,-369.7422680412369,870.0
9,1.0,888.0,-374.3814432989689,870.0
10,1.0,871.0,-365.61855670103085,870.0
11,1.0,898.0,-379.5360824742265,870.0
12,1.0,878.0,-369.22680412371113,870.0
13,1.0,881.0,-370.7731958762883,870.0
14,1.0,968.0,-415.6185567010309,870.0
15,1.0,919.0,-390.3608247422679,870.0
16,1.0,880.0,-370.25773195876275,870.0
17,1.0,911.0,-386.2371134020618,870.0
18,2.0,901.0,-381.0824742268042,870.0
19,2.0,934.0,-398.09278350515456,870.0
20,2.0,891.0,-375.92783505154625,870.0
21,2.0,877.0,-368.7113402061854,870.0
22,2.0,931.0,-396.5463917525772,870.0
23,2.0,911.0,-386.2371134020618,870.0
24,2.0,944.0,-403.24742268041217,870.0
25,2.0,880.0,-370.25773195876286,870.0
26,2.0,865.0,-362.52577319587607,865.0
27,3.0,882.0,-371.28865979381425,865.0
28,3.0,918.0,-389.84536082474193,865.0
29,3.0,939.0,-400.6701030927834,865.0
30,3.0,913.0,-387.26804123711315,865.0
31,3.0,908.0,-384.6907216494843,865.0
32,3.0,945.0,-403.7628865979379,865.0
33,3.0,909.0,-385.2061855670101,865.0
34,3.0,999.0,-431.59793814432965,865.0
35,3.0,923.0,-392.4226804123709,865.0
36,4.0,927.0,-394.48453608247405,865.0
37,4.0,897.0,-379.0206185567008,865.0
38,4.0,901.0,-381.08247422680415,865.0
39,4.0,913.0,-387.2680412371135,865.0
40,4.0,887.0,-373.86597938144325,865.0
41,4.0,935.0,-398.60824742268017,865.0
42,4.0,899.0,-380.0515463917527,865.0
43,4.0,878.0,-369.2268041237112,865.0
44,4.0,873.0,-366.6494845360825,865.0
45,5.0,895.0,-377.98969072164925,865.0
46,5.0,999.0,-431.59793814432953,865.0
47,5.0,862.0,-360.979381443299,862.0
48,5.0,897.0,-379.0206185567009,862.0
49,5.0,911.0,-386.2371134020617,862.0
50,5.0,931.0,-396.54639175257716,862.0
51,5.0,996.0,-430.0515463917526,862.0
52,5.0,966.0,-414.5876288659793,862.0
53,5.0,983.0,-423.3505154639173,862.0
54,6.0,989.0,-426.44329896907203,862.0
55,6.0,957.0,-409.9484536082471,862.0
56,6.0,998.0,-431.08247422680404,862.0
57,6.0,890.0,-375.4123711340206,862.0
58,6.0,966.0,-414.58762886597924,862.0
59,6.0,938.0,-400.15463917525756,862.0
60,6.0,987.0,-425.41237113402053,862.0
61,6.0,1003.0,-433.65979381443265,862.0
62,6.0,879.0,-369.74226804123697,862.0
63,7.0,942.0,-402.2164948453609,862.0
64,7.0,888.0,-374.38144329896886,862.0
65,7.0,859.0,-359.43298969072146,859.0
66,7.0,852.0,-355.82474226804123,852.0
67,7.0,962.0,-412.5257731958761,852.0
68,7.0,889.0,-374.89690721649487,852.0
69,7.0,865.0,-362.5257731958762,852.0
70,7.0,933.0,-397.57731958762866,852.0
71,7.0,881.0,-370.77319587628864,852.0
72,8.0,897.0,-379.0206185567008,852.0
73,8.0,947.0,-404.7938144329896,852.0
74,8.0,878.0,-369.22680412371136,852.0
75,8.0,916.0,-388.8144329896907,852.0
76,8.0,908.0,-384.69072164948426,852.0
77,8.0,901.0,-381.0824742268038,852.0
78,8.0,912.0,-386.7525773195876,852.0
79,8.0,954.0,-408.4020618556699,852.0
80,8.0,1006.0,-435.20618556701,852.0
81,9.0,888.0,-374.38144329896915,852.0
82,9.0,902.0,-381.5979381443297,852.0
83,9.0,889.0,-374.89690721649487,852.0
84,9.0,899.0,-380.0515463917524,852.0
85,9.0,906.0,-383.65979381443293,852.0
86,9.0,965.0,-414.0721649484535,852.0
87,9.0,938.0,-400.15463917525767,852.0
88,9.0,938.0,-400.15463917525767,852.0
89,9.0,899.0,-380.0515463917525,852.0
90,10.0,906.0,-383.659793814433,852.0
91,10.0,906.0,-383.6597938144328,852.0
92,10.0,916.0,-388.8144329896908,852.0
93,10.0,878.0,-369.22680412371113,852.0
94,10.0,851.0,-355.30927835051534,851.0
95,10.0,943.0,-402.7319587628866,851.0
96,10.0,877.0,-368.7113402061857,851.0
97,10.0,885.0,-372.8350515463916,851.0
98,10.0,969.0,-416.1340206185565,851.0
99,11.0,965.0,-414.0721649484534,851.0
100,11.0,1019.0,-441.9072164948452,851.0
101,11.0,870.0,-365.1030927835049,851.0
102,11.0,924.0,-392.9381443298967,851.0
103,11.0,944.0,-403.247422680412,851.0
104,11.0,881.0,-370.77319587628864,851.0
105,11.0,942.0,-402.2164948453608,851.0
106,11.0,903.0,-382.1134020618556,851.0
107,11.0,891.0,-375.92783505154625,851.0
108,12.0,943.0,-402.7319587628866,851.0
109,12.0,927.0,-394.48453608247405,851.0
110,12.0,948.0,-405.3092783505152,851.0
111,12.0,988.0,-425.9278350515462,851.0
112,12.0,903.0,-382.1134020618555,851.0
113,12.0,925.0,-393.4536082474223,851.0
114,12.0,921.0,-391.3917525773196,851.0
115,12.0,904.0,-382.6288659793812,851.0
116,12.0,954.0,-408.40206185566996,851.0
117,13.0,925.0,-393.45360824742255,851.0
118,13.0,929.0,-395.5154639175256,851.0
119,13.0,945.0,-403.76288659793795,851.0
120,13.0,913.0,-387.2680412371131,851.0
121,13.0,1009.0,-436.75257731958743,851.0
122,13.0,894.0,-377.47422680412353,851.0
123,13.0,885.0,-372.8350515463918,851.0
124,13.0,928.0,-395.0,851.0
125,13.0,889.0,-374.89690721649464,851.0
126,14.0,867.0,-363.5567010309277,851.0
127,14.0,889.0,-374.89690721649464,851.0
128,14.0,945.0,-403.7628865979379,851.0
129,14.0,923.0,-392.422680412371,851.0
130,14.0,872.0,-366.1340206185566,851.0
131,14.0,885.0,-372.8350515463916,851.0
132,14.0,934.0,-398.0927835051546,851.0
133,14.0,931.0,-396.54639175257716,851.0
134,14.0,900.0,-380.567010309278,851.0
135,15.0,905.0,-383.1443298969069,851.0
136,15.0,940.0,-401.18556701030934,851.0
137,15.0,893.0,-376.95876288659787,851.0
138,15.0,1018.0,-441.3917525773196,851.0
139,15.0,978.0,-420.7731958762886,851.0
140,15.0,936.0,-399.12371134020606,851.0
141,15.0,889.0,-374.89690721649475,851.0
142,15.0,959.0,-410.979381443299,851.0
