,episode,make_span,reward,min_make_span
0,0.0,911.0,-379.35353535353534,911.0
1,0.0,900.0,-373.7979797979799,900.0
2,0.0,888.0,-367.7373737373738,888.0
3,0.0,905.0,-376.3232323232323,888.0
4,0.0,890.0,-368.7474747474749,888.0
5,0.0,926.0,-386.92929292929284,888.0
6,0.0,962.0,-405.1111111111113,888.0
7,0.0,876.0,-361.67676767676784,876.0
8,0.0,942.0,-395.01010101010104,876.0
9,1.0,888.0,-367.7373737373739,876.0
10,1.0,913.0,-380.3636363636364,876.0
11,1.0,898.0,-372.7878787878787,876.0
12,1.0,915.0,-381.37373737373747,876.0
13,1.0,872.0,-359.656565656566,872.0
14,1.0,883.0,-365.21212121212136,872.0
15,1.0,844.0,-345.5151515151517,844.0
16,1.0,932.0,-389.95959595959596,844.0
17,1.0,861.0,-354.10101010101033,844.0
18,2.0,871.0,-359.1515151515154,844.0
19,2.0,894.0,-370.76767676767696,844.0
20,2.0,902.0,-374.8080808080807,844.0
21,2.0,880.0,-363.69696969696986,844.0
22,2.0,946.0,-397.03030303030323,844.0
23,2.0,907.0,-377.33333333333337,844.0
24,2.0,939.0,-393.49494949494954,844.0
25,2.0,1024.0,-436.4242424242425,844.0
26,2.0,885.0,-366.2222222222224,844.0
27,3.0,875.0,-361.1717171717173,844.0
28,3.0,911.0,-379.35353535353545,844.0
29,3.0,956.0,-402.08080808080837,844.0
30,3.0,924.0,-385.9191919191919,844.0
31,3.0,892.0,-369.757575757576,844.0
32,3.0,869.0,-358.1414141414143,844.0
33,3.0,895.0,-371.2727272727273,844.0
34,3.0,910.0,-378.84848484848493,844.0
35,3.0,951.0,-399.55555555555554,844.0
36,4.0,896.0,-371.7777777777778,844.0
37,4.0,877.0,-362.18181818181824,844.0
38,4.0,883.0,-365.2121212121213,844.0
39,4.0,883.0,-365.21212121212125,844.0
40,4.0,911.0,-379.3535353535352,844.0
41,4.0,925.0,-386.42424242424244,844.0
42,4.0,859.0,-353.0909090909092,844.0
43,4.0,924.0,-385.91919191919186,844.0
44,4.0,892.0,-369.75757575757603,844.0
45,5.0,914.0,-380.8686868686869,844.0
46,5.0,953.0,-400.56565656565664,844.0
47,5.0,928.0,-387.93939393939394,844.0
48,5.0,858.0,-352.5858585858588,844.0
49,5.0,924.0,-385.9191919191921,844.0
50,5.0,921.0,-384.4040404040406,844.0
51,5.0,928.0,-387.93939393939405,844.0
52,5.0,894.0,-370.7676767676768,844.0
53,5.0,957.0,-402.5858585858586,844.0
54,6.0,889.0,-368.2424242424243,844.0
55,6.0,902.0,-374.80808080808083,844.0
56,6.0,887.0,-367.2323232323234,844.0
57,6.0,911.0,-379.3535353535355,844.0
58,6.0,959.0,-403.5959595959598,844.0
59,6.0,894.0,-370.76767676767685,844.0
60,6.0,916.0,-381.878787878788,844.0
61,6.0,881.0,-364.2020202020201,844.0
62,6.0,875.0,-361.1717171717173,844.0
63,7.0,877.0,-362.1818181818182,844.0
64,7.0,893.0,-370.26262626262644,844.0
65,7.0,886.0,-366.72727272727275,844.0
66,7.0,926.0,-386.92929292929296,844.0
67,7.0,884.0,-365.71717171717177,844.0
68,7.0,873.0,-360.16161616161617,844.0
69,7.0,908.0,-377.83838383838395,844.0
70,7.0,904.0,-375.8181818181818,844.0
71,7.0,854.0,-350.5656565656566,844.0
72,8.0,897.0,-372.28282828282835,844.0
73,8.0,896.0,-371.7777777777779,844.0
74,8.0,946.0,-397.0303030303033,844.0
75,8.0,874.0,-360.6666666666668,844.0
76,8.0,893.0,-370.2626262626264,844.0
77,8.0,965.0,-406.62626262626253,844.0
78,8.0,879.0,-363.1919191919192,844.0
79,8.0,932.0,-389.9595959595961,844.0
80,8.0,918.0,-382.88888888888886,844.0
81,9.0,887.0,-367.2323232323233,844.0
82,9.0,943.0,-395.5151515151516,844.0
83,9.0,918.0,-382.888888888889,844.0
84,9.0,886.0,-366.72727272727275,844.0
85,9.0,863.0,-355.11111111111114,844.0
86,9.0,882.0,-364.7070707070707,844.0
87,9.0,958.0,-403.0909090909092,844.0
88,9.0,901.0,-374.3030303030305,844.0
89,9.0,896.0,-371.77777777777777,844.0
90,10.0,924.0,-385.9191919191919,844.0
91,10.0,967.0,-407.6363636363636,844.0
92,10.0,902.0,-374.80808080808106,844.0
93,10.0,908.0,-377.83838383838395,844.0
94,10.0,967.0,-407.6363636363637,844.0
95,10.0,884.0,-365.71717171717194,844.0
96,10.0,872.0,-359.65656565656553,844.0
97,10.0,989.0,-418.74747474747494,844.0
98,10.0,866.0,-356.6262626262628,844.0
99,11.0,862.0,-354.60606060606085,844.0
100,11.0,917.0,-382.38383838383857,844.0
101,11.0,875.0,-361.17171717171726,844.0
102,11.0,861.0,-354.10101010100993,844.0
103,11.0,897.0,-372.28282828282846,844.0
104,11.0,856.0,-351.5757575757576,844.0
105,11.0,891.0,-369.2525252525254,844.0
106,11.0,879.0,-363.1919191919193,844.0
107,11.0,916.0,-381.8787878787879,844.0
108,12.0,901.0,-374.3030303030306,844.0
109,12.0,916.0,-381.87878787878793,844.0
110,12.0,924.0,-385.9191919191921,844.0
111,12.0,891.0,-369.2525252525254,844.0
112,12.0,876.0,-361.67676767676767,844.0
113,12.0,887.0,-367.23232323232327,844.0
114,12.0,930.0,-388.94949494949515,844.0
115,12.0,890.0,-368.7474747474747,844.0
116,12.0,924.0,-385.91919191919203,844.0
117,13.0,906.0,-376.82828282828297,844.0
118,13.0,913.0,-380.36363636363654,844.0
119,13.0,888.0,-367.73737373737384,844.0
120,13.0,897.0,-372.28282828282846,844.0
121,13.0,915.0,-381.37373737373764,844.0
122,13.0,920.0,-383.89898989898995,844.0
123,13.0,915.0,-381.37373737373736,844.0
124,13.0,927.0,-387.4343434343436,844.0
125,13.0,862.0,-354.6060606060607,844.0
126,14.0,902.0,-374.8080808080809,844.0
127,14.0,867.0,-357.1313131313133,844.0
128,14.0,917.0,-382.3838383838386,844.0
129,14.0,922.0,-384.90909090909093,844.0
130,14.0,871.0,-359.1515151515152,844.0
131,14.0,887.0,-367.2323232323233,844.0
132,14.0,869.0,-358.1414141414143,844.0
133,14.0,923.0,-385.4141414141417,844.0
134,14.0,896.0,-371.7777777777778,844.0
135,15.0,929.0,-388.44444444444434,844.0
136,15.0,859.0,-353.0909090909092,844.0
137,15.0,888.0,-367.73737373737384,844.0
138,15.0,873.0,-360.1616161616161,844.0
139,15.0,875.0,-361.1717171717173,844.0
140,15.0,877.0,-362.18181818181836,844.0
141,15.0,879.0,-363.19191919191934,844.0
142,15.0,868.0,-357.63636363636374,844.0
143,15.0,886.0,-366.72727272727286,844.0
