,episode,make_span,reward,min_make_span
0,0.0,508.0,-252.93406593406596,508.0
1,0.0,562.0,-282.60439560439556,508.0
2,0.0,556.0,-279.30769230769226,508.0
3,0.0,522.0,-260.6263736263736,508.0
4,0.0,602.0,-304.5824175824175,508.0
5,0.0,535.0,-267.7692307692308,508.0
6,0.0,655.0,-333.70329670329664,508.0
7,0.0,578.0,-291.3956043956044,508.0
8,0.0,656.0,-334.25274725274727,508.0
9,1.0,510.0,-254.032967032967,508.0
10,1.0,558.0,-280.4065934065934,508.0
11,1.0,544.0,-272.71428571428567,508.0
12,1.0,568.0,-285.9010989010989,508.0
13,1.0,515.0,-256.7802197802198,508.0
14,1.0,565.0,-284.2527472527472,508.0
15,1.0,516.0,-257.3296703296703,508.0
16,1.0,518.0,-258.42857142857144,508.0
17,1.0,562.0,-282.6043956043957,508.0
18,2.0,525.0,-262.27472527472526,508.0
19,2.0,578.0,-291.3956043956044,508.0
20,2.0,537.0,-268.86813186813185,508.0
21,2.0,583.0,-294.14285714285705,508.0
22,2.0,518.0,-258.42857142857156,508.0
23,2.0,583.0,-294.1428571428571,508.0
24,2.0,554.0,-278.2087912087912,508.0
25,2.0,544.0,-272.71428571428567,508.0
26,2.0,528.0,-263.923076923077,508.0
27,3.0,533.0,-266.6703296703297,508.0
28,3.0,551.0,-276.5604395604396,508.0
29,3.0,536.0,-268.31868131868123,508.0
30,3.0,580.0,-292.49450549450546,508.0
31,3.0,576.0,-290.2967032967033,508.0
32,3.0,541.0,-271.065934065934,508.0
33,3.0,557.0,-279.8571428571429,508.0
34,3.0,500.0,-248.53846153846152,500.0
35,3.0,559.0,-280.9560439560439,500.0
36,4.0,525.0,-262.27472527472526,500.0
37,4.0,572.0,-288.09890109890114,500.0
38,4.0,587.0,-296.34065934065933,500.0
39,4.0,664.0,-338.64835164835165,500.0
40,4.0,531.0,-265.5714285714285,500.0
41,4.0,545.0,-273.2637362637363,500.0
42,4.0,560.0,-281.5054945054945,500.0
43,4.0,619.0,-313.92307692307685,500.0
44,4.0,540.0,-270.51648351648356,500.0
45,5.0,516.0,-257.32967032967036,500.0
46,5.0,559.0,-280.95604395604397,500.0
47,5.0,608.0,-307.8791208791209,500.0
48,5.0,542.0,-271.61538461538464,500.0
49,5.0,562.0,-282.60439560439556,500.0
50,5.0,589.0,-297.4395604395604,500.0
51,5.0,533.0,-266.67032967032964,500.0
52,5.0,548.0,-274.9120879120879,500.0
53,5.0,557.0,-279.8571428571429,500.0
54,6.0,542.0,-271.6153846153846,500.0
55,6.0,518.0,-258.4285714285714,500.0
56,6.0,548.0,-274.91208791208794,500.0
57,6.0,600.0,-303.4835164835165,500.0
58,6.0,551.0,-276.56043956043953,500.0
59,6.0,551.0,-276.56043956043953,500.0
60,6.0,518.0,-258.4285714285714,500.0
61,6.0,557.0,-279.85714285714283,500.0
